Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2021,4,La Pampa,301,493,64840,9082,12259,4821,12184,3027,107007,13.85,,
2021,4,La Rioja,18,1,5018,5437,23559,5671,43424,0,83128,39.7,,
2021,4,Mendoza,156,1463,66428,30308,75214,18621,75031,366,267587,22.23,,
2021,4,Misiones,51,5,41916,23554,26721,15954,54596,8335,171132,38.9,,
2021,4,Neuquén,140,940,42313,13264,10515,3310,69217,7767,147466,40.09,,
2021,4,Río Negro,156,1174,38373,19878,31255,4130,36142,22645,153753,27.2,,
2021,4,Salta,114,20,40673,69324,6642,3535,72622,6475,199405,33.94,,
2021,4,San Juan,44,1442,28906,10955,23978,398,9800,4435,79958,11.05,,
2021,4,San Luis,62,264,8550,4276,9107,67363,9,29218,118849,20.91,,
2021,4,Santa Cruz,52,297,20305,11641,13054,1770,876,491,48486,8.99,,
2021,4,Santa Fe,467,581,169706,206856,85690,62349,322015,18777,866441,36.02,,
2021,4,Santiago Del Estero,178,909,31915,61524,12205,800,7537,793,115861,13.84,,
2021,4,Tierra Del Fuego,26,385,13505,16534,16562,1748,1017,2580,52357,10.7,,
2021,4,Tucumán,39,97,37321,48736,21023,5326,125857,240,238639,45.15,,
2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609,56.26,,
2021,3,Capital Federal,295,603,156978,67013,39785,73502,1075229,0,1413405,77.71,,
2021,3,Catamarca,71,0,6755,8428,10517,1659,26618,2206,56254,43.43,,
2021,3,Chaco,301,112,22545,20986,23852,14412,49705,7958,139871,39.11,,
2021,3,Chubut,104,105,89168,26281,18538,5320,1643,14907,156066,8.18,,
2021,3,Córdoba,99,2452,204989,141285,65050,47198,476459,9256,946788,41.93,,
2021,3,Corrientes,67,645,29629,28478,24792,9687,35468,5053,133819,32.17,,
2021,3,Entre Ríos,107,3024,61354,59776,39114,16284,67961,12755,260375,29.6,,
2021,3,Formosa,381,0,22778,7142,6978,1192,12707,1617,52795,26.69,,
2021,3,Jujuy,48,175,23884,16417,37755,561,29917,2401,111158,25.98,,
2021,3,La Pampa,298,313,65063,7395,8737,4023,10506,4152,100487,12.99,,
2021,3,La Rioja,18,1,5366,5979,23315,4868,42613,0,82160,38.87,,
