Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada)
2018,4,Corrientes,34.57,9,12.14
2018,4,Entre Ríos,54.37,16,11.02
2018,4,Formosa,29.74,8,9.82
2018,4,Jujuy,46.53,12,8.56
2018,4,La Pampa,73.49,24,4.32
2018,4,La Rioja,50.35,13,7.09
2018,4,Mendoza,37.76,11,5.75
2018,4,Misiones,34.45,9,12.5
2018,4,Neuquén,59.07,18,15.89
2018,4,Río Negro,51.86,16,10.49
2018,4,Salta,39.8,10,10.46
2018,4,San Juan,31.9,8,5.72
2018,4,San Luis,67.55,19,8.82
2018,4,Santa Cruz,23.69,7,5.12
2018,4,Santa Fe,65.59,21,13.18
2018,4,Santiago Del Estero,37.4,9,6.31
2018,4,Tierra Del Fuego,93.59,28,7.44
2018,4,Tucumán,41.76,10,16.58
2018,3,Buenos Aires,64.44,21,16.78
2018,3,Capital Federal,108.45,45,21.64
2018,3,Catamarca,32.92,8,7.81
2018,3,Chaco,32.28,9,12.89
2018,3,Chubut,56.39,17,6.08
2018,3,Córdoba,64.24,20,14.82
2018,3,Corrientes,34.25,9,11.49
2018,3,Entre Ríos,50.22,15,10.52
2018,3,Formosa,29.58,8,9.32
2018,3,Jujuy,23.26,6,7.67
2018,3,La Pampa,71.75,24,4.28
2018,3,La Rioja,50.73,14,6.16
2018,3,Mendoza,37.99,11,5.79
2018,3,Misiones,32.1,9,12.49
2018,3,Neuquén,60.49,18,14.67
2018,3,Río Negro,50.54,16,10.06
2018,3,Salta,39.43,10,9.27
2018,3,San Juan,33.05,8,5.74
2018,3,San Luis,52.35,15,8.81
2018,3,Santa Cruz,32.73,10,5.37
2018,3,Santa Fe,63.41,20,12.36
2018,3,Santiago Del Estero,36.25,9,5.78
2018,3,Tierra Del Fuego,92.77,28,5.99
2018,3,Tucumán,41.68,10,15.26
2018,2,Buenos Aires,62.78,20,14.68
2018,2,Capital Federal,106.53,45,18.94
2018,2,Catamarca,32.86,8,7.69
2018,2,Chaco,31.25,8,12.5
2018,2,Chubut,54.9,17,5.33
2018,2,Córdoba,63.27,19,13.88
2018,2,Corrientes,33.81,9,10.88
2018,2,Entre Ríos,49.2,15,10.19
2018,2,Formosa,29.43,7,8.97
2018,2,Jujuy,23.43,6,6.29
2018,2,La Pampa,71.04,23,4.1
2018,2,La Rioja,50.98,14,5.59
2018,2,Mendoza,36.97,10,5.88
2018,2,Misiones,31.63,9,11.76
2018,2,Neuquén,60.24,18,13.37
2018,2,Río Negro,50.15,15,9.51
2018,2,Salta,39.94,10,8.93
2018,2,San Juan,32.95,8,5.85
2018,2,San Luis,15.15,4,5.9
2018,2,Santa Cruz,33.33,10,5.19
2018,2,Santa Fe,62.57,20,11.75
2018,2,Santiago Del Estero,35.26,9,5.91
2018,2,Tierra Del Fuego,91.61,27,5.94
2018,2,Tucumán,41.51,10,13.51
2018,1,Buenos Aires,62.63,20,14.2
2018,1,Capital Federal,106.24,45,17.75
2018,1,Catamarca,32.79,8,8.2
2018,1,Chaco,30.83,8,12.44
2018,1,Chubut,53.72,16,5.42
2018,1,Córdoba,63.52,19,12.79
2018,1,Corrientes,32.66,9,11.12
2018,1,Entre Ríos,48.68,15,9.88
2018,1,Formosa,21.4,5,11.06
2018,1,Jujuy,23.12,6,6.74
2018,1,La Pampa,71.75,24,4.0
2018,1,La Rioja,51.44,14,5.89
2018,1,Mendoza,37.07,10,5.88
2018,1,Misiones,30.96,8,12.08
2018,1,Neuquén,61.52,18,11.96
2018,1,Río Negro,49.82,15,8.98
2018,1,Salta,39.78,10,9.19
2018,1,San Juan,32.61,8,5.85
2018,1,San Luis,15.15,4,5.89
2018,1,Santa Cruz,33.55,10,5.19
2018,1,Santa Fe,62.28,20,11.17
2018,1,Santiago Del Estero,34.99,9,6.25
2018,1,Tierra Del Fuego,65.2,19,5.77
2018,1,Tucumán,41.18,10,9.36
2017,4,Buenos Aires,57.61,19,12.97
2017,4,Capital Federal,122.9,52,15.2
2017,4,Catamarca,28.62,7,7.78
2017,4,Chaco,30.81,8,11.7
2017,4,Chubut,51.46,16,5.41
2017,4,Córdoba,63.33,19,11.64
2017,4,Corrientes,32.52,9,10.38
2017,4,Entre Ríos,47.89,14,9.3
2017,4,Formosa,21.27,5,10.11
2017,4,Jujuy,22.74,6,6.64
2017,4,La Pampa,71.05,23,3.98
2017,4,La Rioja,51.57,14,5.88
2017,4,Mendoza,33.33,9,5.71
2017,4,Misiones,31.14,8,11.32
2017,4,Neuquén,61.24,18,10.72
2017,4,Río Negro,49.38,15,8.05
2017,4,Salta,39.8,10,8.45
2017,4,San Juan,30.3,8,5.83
2017,4,San Luis,10.59,3,5.73
2017,4,Santa Cruz,28.91,9,5.21
2017,4,Santa Fe,61.71,19,10.3
2017,4,Santiago Del Estero,29.13,7,6.17
2017,4,Tierra Del Fuego,59.89,18,5.2
2017,4,Tucumán,39.9,10,9.11
2017,3,Buenos Aires,55.63,18,8.43
2017,3,Capital Federal,121.86,51,10.64
2017,3,Catamarca,32.49,8,5.26
2017,3,Chaco,29.98,8,8.48
2017,3,Chubut,46.22,14,3.48
2017,3,Córdoba,62.31,19,9.12
2017,3,Corrientes,32.17,8,7.45
2017,3,Entre Ríos,45.96,14,6.99
2017,3,Formosa,21.35,5,7.07
2017,3,Jujuy,22.65,6,4.69
2017,3,La Pampa,69.14,23,3.44
2017,3,La Rioja,51.47,14,5.01
2017,3,Mendoza,35.7,10,3.51
2017,3,Misiones,30.21,8,8.43
2017,3,Neuquén,60.83,18,8.17
2017,3,Río Negro,48.52,15,5.49
2017,3,Salta,39.84,10,6.13
2017,3,San Juan,32.37,8,3.45
2017,3,San Luis,15.48,4,3.5
2017,3,Santa Cruz,33.29,10,3.61
2017,3,Santa Fe,60.91,19,7.79
2017,3,Santiago Del Estero,35.12,9,5.18
2017,3,Tierra Del Fuego,65.74,19,3.48
2017,3,Tucumán,39.7,10,6.39
2017,2,Buenos Aires,56.27,18,7.2
2017,2,Capital Federal,124.06,52,8.84
2017,2,Catamarca,25.98,7,5.1
2017,2,Chaco,29.05,8,7.69
2017,2,Chubut,35.55,11,3.45
2017,2,Córdoba,58.97,18,7.42
2017,2,Corrientes,31.39,8,6.79
2017,2,Entre Ríos,45.39,14,6.29
2017,2,Formosa,19.97,5,6.18
2017,2,Jujuy,22.4,6,4.54
2017,2,La Pampa,63.49,21,3.32
2017,2,La Rioja,16.2,4,5.53
2017,2,Mendoza,31.76,9,3.51
2017,2,Misiones,30.09,8,7.6
2017,2,Neuquén,61.91,18,6.7
2017,2,Río Negro,46.02,14,4.74
2017,2,Salta,32.74,8,5.76
2017,2,San Juan,26.96,7,3.49
2017,2,San Luis,9.51,3,3.5
2017,2,Santa Cruz,26.25,8,3.6
2017,2,Santa Fe,52.27,16,6.84
2017,2,Santiago Del Estero,14.12,4,5.06
2017,2,Tierra Del Fuego,68.46,20,3.48
2017,2,Tucumán,38.19,9,6.09
2017,1,Buenos Aires,58.57,19,6.68
2017,1,Capital Federal,108.37,46,8.35
2017,1,Catamarca,25.66,7,4.97
2017,1,Chaco,28.62,8,7.31
2017,1,Chubut,35.66,11,3.44
2017,1,Córdoba,57.65,18,6.8
2017,1,Corrientes,30.94,8,6.43
2017,1,Entre Ríos,44.91,13,5.95
2017,1,Formosa,19.84,5,5.74
2017,1,Jujuy,22.76,6,4.39
2017,1,La Pampa,62.67,21,3.22
2017,1,La Rioja,16.2,4,5.43
2017,1,Mendoza,31.84,9,3.51
2017,1,Misiones,29.52,8,7.34
2017,1,Neuquén,61.02,18,6.03
2017,1,Río Negro,46.03,14,4.45
2017,1,Salta,32.58,8,5.34
2017,1,San Juan,27.04,7,3.49
2017,1,San Luis,9.55,3,3.5
2017,1,Santa Cruz,26.52,8,3.59
2017,1,Santa Fe,51.97,16,6.28
2017,1,Santiago Del Estero,14.7,4,4.95
2017,1,Tierra Del Fuego,68.92,20,3.48
2017,1,Tucumán,37.9,9,5.88
2016,4,Buenos Aires,61.24,19,6.35
2016,4,Capital Federal,120.63,46,7.96
2016,4,Catamarca,26.54,7,4.89
2016,4,Chaco,28.79,8,7.08
2016,4,Chubut,36.07,11,3.41
2016,4,Córdoba,57.7,18,6.47
2016,4,Corrientes,30.98,8,6.24
2016,4,Entre Ríos,45.21,13,5.81
2016,4,Formosa,19.85,5,5.63
2016,4,Jujuy,22.65,6,4.32
2016,4,La Pampa,63.02,21,3.19
2016,4,La Rioja,16.46,4,5.34
2016,4,Mendoza,32.11,9,3.51
2016,4,Misiones,29.72,8,7.11
2016,4,Neuquén,60.87,18,5.68
2016,4,Río Negro,46.39,14,4.37
2016,4,Salta,32.69,8,5.22
2016,4,San Juan,27.29,7,3.49
2016,4,San Luis,9.64,3,3.5
2016,4,Santa Cruz,27.05,8,3.56
2016,4,Santa Fe,52.19,16,6.04
2016,4,Santiago Del Estero,15.07,4,4.87
2016,4,Tierra Del Fuego,70.31,21,3.48
2016,4,Tucumán,37.98,9,5.73
2016,3,Buenos Aires,60.14,18,5.91
2016,3,Capital Federal,120.77,46,7.38
2016,3,Catamarca,26.48,7,4.73
2016,3,Chaco,28.91,8,6.72
2016,3,Chubut,36.18,11,3.34
2016,3,Córdoba,58.24,18,6.07
2016,3,Corrientes,31.07,8,5.96
2016,3,Entre Ríos,45.44,14,5.59
2016,3,Formosa,18.64,5,5.42
2016,3,Jujuy,22.61,6,4.22
2016,3,La Pampa,61.73,20,3.14
2016,3,La Rioja,17.07,5,5.08
2016,3,Mendoza,32.09,9,3.51
2016,3,Misiones,29.91,8,6.74
2016,3,Neuquén,60.21,18,5.29
2016,3,Río Negro,46.39,14,4.16
2016,3,Salta,32.96,8,5.05
2016,3,San Juan,27.32,7,3.49
2016,3,San Luis,9.63,3,3.5
2016,3,Santa Cruz,26.84,8,3.54
2016,3,Santa Fe,52.67,17,5.68
2016,3,Santiago Del Estero,15.33,4,4.67
2016,3,Tierra Del Fuego,68.94,20,3.48
2016,3,Tucumán,37.9,9,5.54
2016,2,Buenos Aires,59.34,18,5.42
2016,2,Capital Federal,120.04,46,6.58
2016,2,Catamarca,26.07,7,4.36
2016,2,Chaco,28.59,8,6.3
2016,2,Chubut,36.12,11,3.34
2016,2,Córdoba,57.55,18,5.52
2016,2,Corrientes,30.58,8,5.6
2016,2,Entre Ríos,44.74,13,5.13
2016,2,Formosa,19.37,5,5.1
2016,2,Jujuy,21.89,6,3.84
2016,2,La Pampa,60.44,20,3.15
2016,2,La Rioja,16.88,4,4.77
2016,2,Mendoza,32.13,9,3.5
2016,2,Misiones,29.24,8,6.23
2016,2,Neuquén,59.1,18,4.87
2016,2,Río Negro,46.24,14,3.98
2016,2,Salta,32.08,8,4.75
2016,2,San Juan,27.34,7,3.49
2016,2,San Luis,9.6,3,3.5
2016,2,Santa Cruz,26.73,8,3.5
2016,2,Santa Fe,52.44,16,5.14
2016,2,Santiago Del Estero,15.89,4,4.31
2016,2,Tierra Del Fuego,67.72,20,3.48
2016,2,Tucumán,37.24,9,5.2
2016,1,Buenos Aires,57.34,18,4.99
2016,1,Capital Federal,115.16,44,6.05
2016,1,Catamarca,25.91,7,4.2
2016,1,Chaco,28.08,8,5.99
2016,1,Chubut,36.09,11,3.38
2016,1,Córdoba,55.28,17,5.16
2016,1,Corrientes,30.08,8,5.37
2016,1,Entre Ríos,43.85,13,5.08
2016,1,Formosa,19.04,5,4.87
2016,1,Jujuy,21.41,5,3.77
2016,1,La Pampa,57.84,19,3.05
2016,1,La Rioja,16.83,4,4.62
2016,1,Mendoza,32.12,9,3.5
2016,1,Misiones,28.37,8,6.0
2016,1,Neuquén,55.75,17,4.42
2016,1,Río Negro,45.84,14,3.83
2016,1,Salta,31.32,8,4.74
2016,1,San Juan,27.33,7,3.49
2016,1,San Luis,9.59,3,3.5
2016,1,Santa Cruz,26.87,8,3.48
2016,1,Santa Fe,51.28,16,4.9
