Año,Trimestre,Provincia,Tipo Conexion,Accesos
2019,3,Entre Ríos,ADSL,94947
2019,3,Formosa,ADSL,21777
2019,3,Jujuy,ADSL,33110
2019,3,La Pampa,ADSL,19469
2019,3,La Rioja,ADSL,14390
2019,3,Mendoza,ADSL,148640
2019,3,Misiones,ADSL,54493
2019,3,Neuquén,ADSL,43347
2019,3,Río Negro,ADSL,67478
2019,3,Salta,ADSL,65799
2019,3,San Juan,ADSL,51670
2019,3,San Luis,ADSL,13037
2019,3,Santa Cruz,ADSL,10663
2019,3,Santa Fe,ADSL,319396
2019,3,Santiago Del Estero,ADSL,24556
2019,3,Tierra Del Fuego,ADSL,19790
2019,3,Tucumán,ADSL,150918
2019,2,Buenos Aires,ADSL,1284658
2019,2,Capital Federal,ADSL,309937
2019,2,Catamarca,ADSL,25682
2019,2,Chaco,ADSL,50765
2019,2,Chubut,ADSL,37313
2019,2,Córdoba,ADSL,314768
2019,2,Corrientes,ADSL,53835
2019,2,Entre Ríos,ADSL,97081
2019,2,Formosa,ADSL,21916
2019,2,Jujuy,ADSL,33022
2019,2,La Pampa,ADSL,19471
2019,2,La Rioja,ADSL,15014
2019,2,Mendoza,ADSL,148673
2019,2,Misiones,ADSL,55373
2019,2,Neuquén,ADSL,43420
2019,2,Río Negro,ADSL,67841
2019,2,Salta,ADSL,68827
2019,2,San Juan,ADSL,51680
2019,2,San Luis,ADSL,11130
2019,2,Santa Cruz,ADSL,10665
2019,2,Santa Fe,ADSL,325420
2019,2,Santiago Del Estero,ADSL,24393
2019,2,Tierra Del Fuego,ADSL,19790
2019,2,Tucumán,ADSL,153121
2019,1,Buenos Aires,ADSL,1304507
2019,1,Capital Federal,ADSL,328246
2019,1,Catamarca,ADSL,26912
2019,1,Chaco,ADSL,53409
2019,1,Chubut,ADSL,37302
2019,1,Córdoba,ADSL,323272
2019,1,Corrientes,ADSL,55842
2019,1,Entre Ríos,ADSL,100999
2019,1,Formosa,ADSL,22570
2019,1,Jujuy,ADSL,33248
2019,1,La Pampa,ADSL,18832
2019,1,La Rioja,ADSL,16367
2019,1,Mendoza,ADSL,148524
2019,1,Misiones,ADSL,54898
2019,1,Neuquén,ADSL,40747
2019,1,Río Negro,ADSL,68377
2019,1,Salta,ADSL,74426
2019,1,San Juan,ADSL,51660
2019,1,San Luis,ADSL,11108
2019,1,Santa Cruz,ADSL,10659
2019,1,Santa Fe,ADSL,340038
2019,1,Santiago Del Estero,ADSL,25337
2019,1,Tierra Del Fuego,ADSL,19789
2019,1,Tucumán,ADSL,159215
2018,4,Buenos Aires,ADSL,1305576
2018,4,Capital Federal,ADSL,328253
2018,4,Catamarca,ADSL,26912
2018,4,Chaco,ADSL,53409
2018,4,Chubut,ADSL,37215
2018,4,Córdoba,ADSL,328854
2018,4,Corrientes,ADSL,55842
2018,4,Entre Ríos,ADSL,101168
2018,4,Formosa,ADSL,22619
2018,4,Jujuy,ADSL,33248
2018,4,La Pampa,ADSL,18832
2018,4,La Rioja,ADSL,16367
2018,4,Mendoza,ADSL,148524
2018,4,Misiones,ADSL,55500
2018,4,Neuquén,ADSL,40747
2018,4,Río Negro,ADSL,68377
2018,4,Salta,ADSL,74295
2018,4,San Juan,ADSL,51660
2018,4,San Luis,ADSL,11108
2018,4,Santa Cruz,ADSL,10659
2018,4,Santa Fe,ADSL,335519
2018,4,Santiago Del Estero,ADSL,25339
2018,4,Tierra Del Fuego,ADSL,19789
2018,4,Tucumán,ADSL,159215
2018,3,Buenos Aires,ADSL,1435856
2018,3,Capital Federal,ADSL,334353
2018,3,Catamarca,ADSL,27553
2018,3,Chaco,ADSL,53927
2018,3,Chubut,ADSL,58887
2018,3,Córdoba,ADSL,337620
2018,3,Corrientes,ADSL,56444
2018,3,Entre Ríos,ADSL,103318
2018,3,Formosa,ADSL,22777
2018,3,Jujuy,ADSL,33363
2018,3,La Pampa,ADSL,12415
2018,3,La Rioja,ADSL,16587
2018,3,Mendoza,ADSL,151033
2018,3,Misiones,ADSL,56290
2018,3,Neuquén,ADSL,46602
2018,3,Río Negro,ADSL,68590
2018,3,Salta,ADSL,76600
2018,3,San Juan,ADSL,54025
2018,3,San Luis,ADSL,11096
2018,3,Santa Cruz,ADSL,18606
2018,3,Santa Fe,ADSL,339126
2018,3,Santiago Del Estero,ADSL,25805
2018,3,Tierra Del Fuego,ADSL,19365
2018,3,Tucumán,ADSL,161209
2018,2,Buenos Aires,ADSL,1450203
2018,2,Capital Federal,ADSL,342431
2018,2,Catamarca,ADSL,27444
2018,2,Chaco,ADSL,54134
2018,2,Chubut,ADSL,58935
2018,2,Córdoba,ADSL,345141
2018,2,Corrientes,ADSL,56541
2018,2,Entre Ríos,ADSL,104811
2018,2,Formosa,ADSL,23543
2018,2,Jujuy,ADSL,33571
2018,2,La Pampa,ADSL,12416
2018,2,La Rioja,ADSL,16663
2018,2,Mendoza,ADSL,152938
2018,2,Misiones,ADSL,57265
2018,2,Neuquén,ADSL,46633
2018,2,Río Negro,ADSL,68667
2018,2,Salta,ADSL,78386
2018,2,San Juan,ADSL,54080
2018,2,San Luis,ADSL,11104
2018,2,Santa Cruz,ADSL,18615
2018,2,Santa Fe,ADSL,337934
2018,2,Santiago Del Estero,ADSL,26074
2018,2,Tierra Del Fuego,ADSL,19372
2018,2,Tucumán,ADSL,160315
2018,1,Buenos Aires,ADSL,1452061
2018,1,Capital Federal,ADSL,349995
2018,1,Catamarca,ADSL,27300
2018,1,Chaco,ADSL,54879
2018,1,Chubut,ADSL,56375
2018,1,Córdoba,ADSL,349342
2018,1,Corrientes,ADSL,56937
2018,1,Entre Ríos,ADSL,106998
2018,1,Formosa,ADSL,23556
2018,1,Jujuy,ADSL,33856
2018,1,La Pampa,ADSL,10807
2018,1,La Rioja,ADSL,16960
2018,1,Mendoza,ADSL,152931
2018,1,Misiones,ADSL,56311
2018,1,Neuquén,ADSL,46714
2018,1,Río Negro,ADSL,68769
2018,1,Salta,ADSL,79936
2018,1,San Juan,ADSL,54080
2018,1,San Luis,ADSL,11104
2018,1,Santa Cruz,ADSL,18615
2018,1,Santa Fe,ADSL,341997
2018,1,Santiago Del Estero,ADSL,26788
2018,1,Tierra Del Fuego,ADSL,19372
2018,1,Tucumán,ADSL,158611
2017,4,Buenos Aires,ADSL,1241172
2017,4,Capital Federal,ADSL,571363
2017,4,Catamarca,ADSL,27083
