Año,Trimestre,Provincia,Rango Velocidad,Accesos
2019,3,San Luis,HASTA 512 kbps,57
2019,3,Santa Cruz,HASTA 512 kbps,28
2019,3,Santa Fe,HASTA 512 kbps,640
2019,3,Santiago Del Estero,HASTA 512 kbps,39
2019,3,Tierra Del Fuego,HASTA 512 kbps,6
2019,3,Tucumán,HASTA 512 kbps,16
2019,2,Buenos Aires,HASTA 512 kbps,199768
2019,2,Capital Federal,HASTA 512 kbps,74
2019,2,Catamarca,HASTA 512 kbps,34
2019,2,Chaco,HASTA 512 kbps,69
2019,2,Chubut,HASTA 512 kbps,66
2019,2,Córdoba,HASTA 512 kbps,81
2019,2,Corrientes,HASTA 512 kbps,10
2019,2,Entre Ríos,HASTA 512 kbps,18
2019,2,Formosa,HASTA 512 kbps,1110
2019,2,Jujuy,HASTA 512 kbps,27
2019,2,La Pampa,HASTA 512 kbps,236
2019,2,La Rioja,HASTA 512 kbps,9
2019,2,Mendoza,HASTA 512 kbps,20
2019,2,Misiones,HASTA 512 kbps,47
2019,2,Neuquén,HASTA 512 kbps,302
2019,2,Río Negro,HASTA 512 kbps,384
2019,2,Salta,HASTA 512 kbps,49
2019,2,San Juan,HASTA 512 kbps,22
2019,2,San Luis,HASTA 512 kbps,57
2019,2,Santa Cruz,HASTA 512 kbps,25
2019,2,Santa Fe,HASTA 512 kbps,321
2019,2,Santiago Del Estero,HASTA 512 kbps,39
2019,2,Tierra Del Fuego,HASTA 512 kbps,6
2019,2,Tucumán,HASTA 512 kbps,16
2019,1,Buenos Aires,HASTA 512 kbps,162513
2019,1,Capital Federal,HASTA 512 kbps,74
2019,1,Catamarca,HASTA 512 kbps,34
2019,1,Chaco,HASTA 512 kbps,69
2019,1,Chubut,HASTA 512 kbps,66
2019,1,Córdoba,HASTA 512 kbps,81
2019,1,Corrientes,HASTA 512 kbps,10
2019,1,Entre Ríos,HASTA 512 kbps,18
2019,1,Formosa,HASTA 512 kbps,1110
2019,1,Jujuy,HASTA 512 kbps,27
2019,1,La Pampa,HASTA 512 kbps,236
2019,1,La Rioja,HASTA 512 kbps,9
2019,1,Mendoza,HASTA 512 kbps,20
2019,1,Misiones,HASTA 512 kbps,47
2019,1,Neuquén,HASTA 512 kbps,1328
2019,1,Río Negro,HASTA 512 kbps,384
2019,1,Salta,HASTA 512 kbps,49
2019,1,San Juan,HASTA 512 kbps,22
2019,1,San Luis,HASTA 512 kbps,57
2019,1,Santa Cruz,HASTA 512 kbps,25
2019,1,Santa Fe,HASTA 512 kbps,333
2019,1,Santiago Del Estero,HASTA 512 kbps,39
2019,1,Tierra Del Fuego,HASTA 512 kbps,6
2019,1,Tucumán,HASTA 512 kbps,16
2018,4,Buenos Aires,HASTA 512 kbps,134673
2018,4,Capital Federal,HASTA 512 kbps,74
2018,4,Catamarca,HASTA 512 kbps,34
2018,4,Chaco,HASTA 512 kbps,69
2018,4,Chubut,HASTA 512 kbps,66
2018,4,Córdoba,HASTA 512 kbps,81
2018,4,Corrientes,HASTA 512 kbps,10
2018,4,Entre Ríos,HASTA 512 kbps,18
2018,4,Formosa,HASTA 512 kbps,1110
2018,4,Jujuy,HASTA 512 kbps,27
2018,4,La Pampa,HASTA 512 kbps,241
2018,4,La Rioja,HASTA 512 kbps,9
2018,4,Mendoza,HASTA 512 kbps,20
2018,4,Misiones,HASTA 512 kbps,47
2018,4,Neuquén,HASTA 512 kbps,1328
2018,4,Río Negro,HASTA 512 kbps,384
2018,4,Salta,HASTA 512 kbps,49
2018,4,San Juan,HASTA 512 kbps,22
2018,4,San Luis,HASTA 512 kbps,57
2018,4,Santa Cruz,HASTA 512 kbps,25
2018,4,Santa Fe,HASTA 512 kbps,335
2018,4,Santiago Del Estero,HASTA 512 kbps,39
2018,4,Tierra Del Fuego,HASTA 512 kbps,6
2018,4,Tucumán,HASTA 512 kbps,16
2018,3,Buenos Aires,HASTA 512 kbps,991
2018,3,Capital Federal,HASTA 512 kbps,73
2018,3,Catamarca,HASTA 512 kbps,34
2018,3,Chaco,HASTA 512 kbps,70
2018,3,Chubut,HASTA 512 kbps,67
2018,3,Córdoba,HASTA 512 kbps,81
2018,3,Corrientes,HASTA 512 kbps,11
2018,3,Entre Ríos,HASTA 512 kbps,18
2018,3,Formosa,HASTA 512 kbps,1110
2018,3,Jujuy,HASTA 512 kbps,345
2018,3,La Pampa,HASTA 512 kbps,242
2018,3,La Rioja,HASTA 512 kbps,9
2018,3,Mendoza,HASTA 512 kbps,20
2018,3,Misiones,HASTA 512 kbps,48
2018,3,Neuquén,HASTA 512 kbps,1396
2018,3,Río Negro,HASTA 512 kbps,409
2018,3,Salta,HASTA 512 kbps,116
2018,3,San Juan,HASTA 512 kbps,22
2018,3,San Luis,HASTA 512 kbps,57
2018,3,Santa Cruz,HASTA 512 kbps,26
2018,3,Santa Fe,HASTA 512 kbps,467
2018,3,Santiago Del Estero,HASTA 512 kbps,41
2018,3,Tierra Del Fuego,HASTA 512 kbps,6
2018,3,Tucumán,HASTA 512 kbps,16
2018,2,Buenos Aires,HASTA 512 kbps,1009
2018,2,Capital Federal,HASTA 512 kbps,73
2018,2,Catamarca,HASTA 512 kbps,34
2018,2,Chaco,HASTA 512 kbps,70
2018,2,Chubut,HASTA 512 kbps,67
2018,2,Córdoba,HASTA 512 kbps,81
2018,2,Corrientes,HASTA 512 kbps,11
2018,2,Entre Ríos,HASTA 512 kbps,18
2018,2,Formosa,HASTA 512 kbps,1110
2018,2,Jujuy,HASTA 512 kbps,345
2018,2,La Pampa,HASTA 512 kbps,244
2018,2,La Rioja,HASTA 512 kbps,9
2018,2,Mendoza,HASTA 512 kbps,20
2018,2,Misiones,HASTA 512 kbps,48
2018,2,Neuquén,HASTA 512 kbps,1396
2018,2,Río Negro,HASTA 512 kbps,409
2018,2,Salta,HASTA 512 kbps,116
2018,2,San Juan,HASTA 512 kbps,22
2018,2,San Luis,HASTA 512 kbps,57
2018,2,Santa Cruz,HASTA 512 kbps,26
2018,2,Santa Fe,HASTA 512 kbps,744
2018,2,Santiago Del Estero,HASTA 512 kbps,41
2018,2,Tierra Del Fuego,HASTA 512 kbps,6
2018,2,Tucumán,HASTA 512 kbps,16
2018,1,Buenos Aires,HASTA 512 kbps,1514
2018,1,Capital Federal,HASTA 512 kbps,89
2018,1,Catamarca,HASTA 512 kbps,34
2018,1,Chaco,HASTA 512 kbps,70
2018,1,Chubut,HASTA 512 kbps,67
2018,1,Córdoba,HASTA 512 kbps,281
2018,1,Corrientes,HASTA 512 kbps,11
2018,1,Entre Ríos,HASTA 512 kbps,18
2018,1,Formosa,HASTA 512 kbps,1110
2018,1,Jujuy,HASTA 512 kbps,345
2018,1,La Pampa,HASTA 512 kbps,245
2018,1,La Rioja,HASTA 512 kbps,9
2018,1,Mendoza,HASTA 512 kbps,20
2018,1,Misiones,HASTA 512 kbps,48
2018,1,Neuquén,HASTA 512 kbps,1396
2018,1,Río Negro,HASTA 512 kbps,409
2018,1,Salta,HASTA 512 kbps,116
2018,1,San Juan,HASTA 512 kbps,22
2018,1,San Luis,HASTA 512 kbps,57
2018,1,Santa Cruz,HASTA 512 kbps,26
2018,1,Santa Fe,HASTA 512 kbps,1359
2018,1,Santiago Del Estero,HASTA 512 kbps,41
2018,1,Tierra Del Fuego,HASTA 512 kbps,6
2018,1,Tucumán,HASTA 512 kbps,16
2017,4,Buenos Aires,HASTA 512 kbps,3865
2017,4,Capital Federal,HASTA 512 kbps,314
2017,4,Catamarca,HASTA 512 kbps,34
2017,4,Chaco,HASTA 512 kbps,70
2017,4,Chubut,HASTA 512 kbps,67
2017,4,Córdoba,HASTA 512 kbps,291
2017,4,Corrientes,HASTA 512 kbps,11
2017,4,Entre Ríos,HASTA 512 kbps,1685
2017,4,Formosa,HASTA 512 kbps,1110
2017,4,Jujuy,HASTA 512 kbps,345
2017,4,La Pampa,HASTA 512 kbps,310
2017,4,La Rioja,HASTA 512 kbps,9
2017,4,Mendoza,HASTA 512 kbps,26
2017,4,Misiones,HASTA 512 kbps,1053
2017,4,Neuquén,HASTA 512 kbps,1396
2017,4,Río Negro,HASTA 512 kbps,409
2017,4,Salta,HASTA 512 kbps,636
2017,4,San Juan,HASTA 512 kbps,22
2017,4,San Luis,HASTA 512 kbps,59
2017,4,Santa Cruz,HASTA 512 kbps,68
2017,4,Santa Fe,HASTA 512 kbps,3109
2017,4,Santiago Del Estero,HASTA 512 kbps,41
2017,4,Tierra Del Fuego,HASTA 512 kbps,6
2017,4,Tucumán,HASTA 512 kbps,105
2017,3,Buenos Aires,HASTA 512 kbps,6577
2017,3,Capital Federal,HASTA 512 kbps,283
2017,3,Catamarca,HASTA 512 kbps,52
2017,3,Chaco,HASTA 512 kbps,95
2017,3,Chubut,HASTA 512 kbps,436
2017,3,Córdoba,HASTA 512 kbps,327
2017,3,Corrientes,HASTA 512 kbps,24
2017,3,Entre Ríos,HASTA 512 kbps,1691
2017,3,Formosa,HASTA 512 kbps,1063
2017,3,Jujuy,HASTA 512 kbps,337
2017,3,La Pampa,HASTA 512 kbps,343
2017,3,La Rioja,HASTA 512 kbps,16
2017,3,Mendoza,HASTA 512 kbps,32
2017,3,Misiones,HASTA 512 kbps,1058
2017,3,Neuquén,HASTA 512 kbps,2036
2017,3,Río Negro,HASTA 512 kbps,422
2017,3,Salta,HASTA 512 kbps,645
2017,3,San Juan,HASTA 512 kbps,31
2017,3,San Luis,HASTA 512 kbps,63
2017,3,Santa Cruz,HASTA 512 kbps,188
2017,3,Santa Fe,HASTA 512 kbps,3116
2017,3,Santiago Del Estero,HASTA 512 kbps,69
2017,3,Tierra Del Fuego,HASTA 512 kbps,9
2017,3,Tucumán,HASTA 512 kbps,109
2017,2,Buenos Aires,HASTA 512 kbps,7548
2017,2,Capital Federal,HASTA 512 kbps,556
2017,2,Catamarca,HASTA 512 kbps,15
2017,2,Chaco,HASTA 512 kbps,191
2017,2,Chubut,HASTA 512 kbps,403
2017,2,Córdoba,HASTA 512 kbps,251
2017,2,Corrientes,HASTA 512 kbps,15
2017,2,Entre Ríos,HASTA 512 kbps,1680
2017,2,Formosa,HASTA 512 kbps,1486
2017,2,Jujuy,HASTA 512 kbps,311
2017,2,La Pampa,HASTA 512 kbps,356
2017,2,La Rioja,HASTA 512 kbps,9
2017,2,Mendoza,HASTA 512 kbps,109
2017,2,Misiones,HASTA 512 kbps,1011
2017,2,Neuquén,HASTA 512 kbps,1542
2017,2,Río Negro,HASTA 512 kbps,973
2017,2,Salta,HASTA 512 kbps,594
2017,2,San Juan,HASTA 512 kbps,15
2017,2,San Luis,HASTA 512 kbps,8
2017,2,Santa Cruz,HASTA 512 kbps,188
2017,2,Santa Fe,HASTA 512 kbps,4967
2017,2,Santiago Del Estero,HASTA 512 kbps,26
2017,2,Tierra Del Fuego,HASTA 512 kbps,16
2017,2,Tucumán,HASTA 512 kbps,96
2017,1,Buenos Aires,HASTA 512 kbps,6017
2017,1,Capital Federal,HASTA 512 kbps,510
2017,1,Catamarca,HASTA 512 kbps,15
2017,1,Chaco,HASTA 512 kbps,191
2017,1,Chubut,HASTA 512 kbps,401
2017,1,Córdoba,HASTA 512 kbps,50
2017,1,Corrientes,HASTA 512 kbps,15
2017,1,Entre Ríos,HASTA 512 kbps,1680
2017,1,Formosa,HASTA 512 kbps,1535
2017,1,Jujuy,HASTA 512 kbps,330
2017,1,La Pampa,HASTA 512 kbps,362
2017,1,La Rioja,HASTA 512 kbps,9
2017,1,Mendoza,HASTA 512 kbps,106
2017,1,Misiones,HASTA 512 kbps,1010
2017,1,Neuquén,HASTA 512 kbps,1547
2017,1,Río Negro,HASTA 512 kbps,986
2017,1,Salta,HASTA 512 kbps,579
2017,1,San Juan,HASTA 512 kbps,8
2017,1,San Luis,HASTA 512 kbps,8
2017,1,Santa Cruz,HASTA 512 kbps,190
2017,1,Santa Fe,HASTA 512 kbps,4966
2017,1,Santiago Del Estero,HASTA 512 kbps,26
2017,1,Tierra Del Fuego,HASTA 512 kbps,16
2017,1,Tucumán,HASTA 512 kbps,96
2016,4,Buenos Aires,HASTA 512 kbps,6055
2016,4,Capital Federal,HASTA 512 kbps,517
2016,4,Catamarca,HASTA 512 kbps,15
2016,4,Chaco,HASTA 512 kbps,191
2016,4,Chubut,HASTA 512 kbps,401
2016,4,Córdoba,HASTA 512 kbps,50
2016,4,Corrientes,HASTA 512 kbps,15
2016,4,Entre Ríos,HASTA 512 kbps,1680
2016,4,Formosa,HASTA 512 kbps,1573
2016,4,Jujuy,HASTA 512 kbps,303
2016,4,La Pampa,HASTA 512 kbps,368
2016,4,La Rioja,HASTA 512 kbps,9
2016,4,Mendoza,HASTA 512 kbps,114
2016,4,Misiones,HASTA 512 kbps,1010
2016,4,Neuquén,HASTA 512 kbps,1539
